pharmacyName,town,cordinates,streetAdress,phoneNumber,type
Pharmacie ACHOUR TAOUFIK,"SOUSSE VILLE 					                     Tunisie","35.838507,10.589103",Rue TAJIKISTAN SOUSSE SOUSSE VILLE, ,DAY
Pharmacie NOUREDDINE NAHLA,"AKOUDA 					                     Tunisie","35.87275,10.589103","9, Av DE L'ENVIRONNEMENT SOUSSE AKOUDA",73810113,DAY
Pharmacie JEGHAM HAJER EP TEMIME,"AKOUDA 					                     Tunisie","35.870330,10.589103","43, Av DE L'ENVIRONNEMENT SOUSSE AKOUDA", ,DAY
Pharmacie GHEZAL FREDJ,"AKOUDA 					                     Tunisie","35.865858,10.589103",Av DE LA REPUBLIQUE SOUSSE AKOUDA,73256011,DAY
Pharmacie CHAHED MOHAMED BECHIR,"AKOUDA 					                     Tunisie","35.872076,10.589103","37, Av HABIB BOURGUIBA SOUSSE AKOUDA",73356197,DAY
Pharmacie BEN ROMDHANE SAMIR,"BOUFICHA 					                     Tunisie","36.300483,10.589103",Av HEDI CHAKER SOUSSE BOUFICHA,73252011,DAY
Pharmacie SOLAANI HAMDA,"BOUFICHA 					                     Tunisie","36.300312,10.589103",Av HEDI CHAKER SOUSSE BOUFICHA,73252963,DAY
Pharmacie JAIDANE MOURAD,"CHATT MERIEM 					                     Tunisie","35.937375,10.589103",CHATT MERIEM SOUSSE CHATT MERIEM,73248265,DAY
Pharmacie BEN SGHAIER RAOUDHA,"ENFIDHA 					                     Tunisie","36.132318,10.589103","50, Av H. BOURGUIBA - CENTRE EL KAIED SOUSSE ENFIDHA",73381421,DAY
Pharmacie GHRAIRI SALLEM,"ENFIDHA 					                     Tunisie","36.135172,10.589103",Av DE LA REPUBLIQUE SOUSSE ENFIDHA,73250033,DAY
Pharmacie ACHOUR TAOUFIK,"SOUSSE VILLE 					           Tunisie","35.838507,10.589103",Rue TAJIKISTAN SOUSSE SOUSSE VILLE, ,DAY
Pharmacie NOUREDDINE NAHLA,"AKOUDA 					           Tunisie","35.87275,10.589103","9, Av DE L'ENVIRONNEMENT SOUSSE AKOUDA",73810113,DAY
Pharmacie JEGHAM HAJER EP TEMIME,"AKOUDA 					           Tunisie","35.870330,10.589103","43, Av DE L'ENVIRONNEMENT SOUSSE AKOUDA", ,DAY
Pharmacie GHEZAL FREDJ,"AKOUDA 					           Tunisie","35.865858,10.589103",Av DE LA REPUBLIQUE SOUSSE AKOUDA,73256011,DAY
Pharmacie CHAHED MOHAMED BECHIR,"AKOUDA 					           Tunisie","35.872076,10.589103","37, Av HABIB BOURGUIBA SOUSSE AKOUDA",73356197,DAY
Pharmacie BEN ROMDHANE SAMIR,"BOUFICHA 					           Tunisie","36.300483,10.589103",Av HEDI CHAKER SOUSSE BOUFICHA,73252011,DAY
